,tag,quote
0, inspirational,"Promise YourselfTo be so strong that nothingcan disturb your peace of mind.To talk health, happiness, and prosperityto every person you meet.To make all your friends feelthat there is something in themTo look at the sunny side of everythingand make your optimism come true.To think only the best, to work only for the best,and to expect only the best.To be just as enthusiastic about the success of othersas you are about your own.To forget the mistakes of the pastand press on to the greater achievements of the future.To wear a cheerful countenance at all timesand give every living creature you meet a smile.To give so much time to the improvement of yourselfthat you have no time to criticize others.To be too large for worry, too noble for anger, too strong for fear,and too happy to permit the presence of trouble.To think well of yourself and to proclaim this fact to the world,not in loud words but great deeds.To live in faith that the whole world is on your sideso long as you are true to the best that is in you."
0, life,"Life will break you. Nobody can protect you from that, and living alone won't either, for solitude will also break you with its yearning. You have to love. You have to feel. It is the reason you are here on earth. You are here to risk your heart. You are here to be swallowed up. And when it happens that you are broken, or betrayed, or left, or hurt, or death brushes near, let yourself sit by an apple tree and listen to the apples falling all around you in heaps, wasting their sweetness. Tell yourself you tasted as many as you could."
0, fear,"There are two basic motivating forces: fear and love. When we are afraid, we pull back from life. When we are in love, we open to all that life has to offer with passion, excitement, and acceptance. We need to learn to love ourselves first, in all our glory and our imperfections. If we cannot love ourselves, we cannot fully open to our ability to love others or our potential to create. Evolution and all hopes for a better world rest in the fearlessness and open-hearted vision of people who embrace life."
0, inspirational,"The world is indeed full of peril, and in it there are many dark places; but still there is much that is fair, and though in all lands love is now mingled with grief, it grows perhaps the greater."
0, inspirational,"And, in the endThe love you takeis equal to the love you make."
0, love,"It hurts to let go. Sometimes it seems the harder you try to hold on to something or someone the more it wants to get away. You feel like some kind of criminal for having felt, for having wanted. For having wanted to be wanted. It confuses you, because you think that your feelings were wrong and it makes you feel so small because it's so hard to keep it inside when you let it out and it doesn't coma back. You're left so alone that you can't explain. Damn, there's nothing like that, is there? I've been there and you have too. You're nodding your head."
0, annie-clark-tanner-lecture,"I don't trust people who don't love themselves and tell me, 'I love you.' ... There is an African saying which is: Be careful when a naked person offers you a shirt."
0, completion,"We’re all seeking that special person who is right for us. But if you’ve been through enough relationships, you begin to suspect there’s no right person, just different flavors of wrong. Why is this? Because you yourself are wrong in some way, and you seek out partners who are wrong in some complementary way. But it takes a lot of living to grow fully into your own wrongness. And it isn’t until you finally run up against your deepest demons, your unsolvable problems—the ones that make you truly who you are—that we’re ready to find a lifelong mate. Only then do you finally know what you’re looking for. You’re looking for the wrong person. But not just any wrong person: it's got to be the right wrong person—someone you lovingly gaze upon and think, “This is the problem I want to have.”I will find that special person who is wrong for me in just the right way."
0, friendship,How many slams in an old screen door? Depends how loud you shut it. How many slices in a bread? Depends how thin you cut it. How much good inside a day? Depends how good you live 'em. How much love inside a friend? Depends how much you give 'em.
0, love,"If you love somebody, let them go, for if they return, they were always yours. If they don't, they never were."
0, inspirational,"I was smiling yesterday,I am smiling today and I will smile tomorrow.Simply because life is too short to cry for anything."
0, compassion,"One love, one heart, one destiny."
0, heartbreak,"Well, nowIf little by little you stop loving meI shall stop loving youLittle by littleIf suddenly you forget meDo not look for meFor I shall already have forgotten youIf you think it long and mad the wind of banners that passes through my lifeAnd you decide to leave me at the shore of the heart where I have rootsRememberThat on that day, at that hour, I shall lift my armsAnd my roots will set off to seek another land"
0, inspirational,"To me, Fearless is not the absense of fear. It's not being completely unafraid. To me, Fearless is having fears. Fearless is having doubts. Lots of them. To me, Fearless is living in spite of those things that scare you to death."
0, humanity,"We have to allow ourselves to be loved by the people who really love us, the people who really matter. Too much of the time, we are blinded by our own pursuits of people to love us, people that don't even matter, while all that time we waste and the people who do love us have to stand on the sidewalk and watch us beg in the streets! It's time to put an end to this. It's time for us to let ourselves be loved."
0, inspirational,Any fool can be happy. It takes a man with real heart to make beauty out of the stuff that makes us weep.
0, life,"You couldn't relive your life, skipping the awful parts, without losing what made it worthwhile. You had to accept it as a whole--like the world, or the person you loved."
0, love,"Life, he realize, was much like a song. In the beginning there is mystery, in the end there is confirmation, but it's in the middle where all the emotion resides to make the whole thing worthwhile."
0, happiness,Happiness [is] only real when shared
0, life,"Was it hard?"" I ask.Letting go?""Not as hard as holding on to something that wasn't real."
0, life,"You yourself, as much as anybody in the entire universe, deserve your love and affection"
0, love,"The saddest people I've ever met in life are the ones who don't care deeply about anything at all. Passion and satisfaction go hand in hand, and without them, any happiness is only temporary, because there's nothing to make it last."
0, birth,"We are all alone, born alone, die alone, and—in spite of True Romance magazines—we shall all someday look back on our lives and see that, in spite of our company, we were alone the whole way. I do not say lonely—at least, not all the time—but essentially, and finally, alone. This is what makes your self-respect so important, and I don't see how you can respect yourself if you must look in the hearts and minds of others for your happiness."
0, inspirational,It is the time you have wasted for your rose that makes your rose so important.
0, friendship,"Friendship marks a life even more deeply than love. Love risks degenerating into obsession, friendship is never anything but sharing."
0, love,"I will love you always. When this red hair is white, I will still love you. When the smooth softness of youth is replaced by the delicate softness of age, I will still want to touch your skin. When your face is full of the lines of every smile you have ever smiled, of every surprise I have seen flash through your eyes, when every tear you have ever cried has left its mark upon your face,I will treasure you all the more, because I was there to see it all. I will share your life with you, Meredith, and I will love you until the last breath leaves your body or mine."
0, life,Time was passing like a hand waving from a train I wanted to be on. I hope you never have to think about anything as much as I think about you.
0, blood,"Do not fall in love with people like me. I will take you to museums, and parks, and monuments, and kiss you in every beautiful place, so that you can never go back to them without tasting me like blood in your mouth.I will destroy you in the most beautiful way possible. And when I leave you will finally understand, why storms are named after people."
0, life,"If you stay, I'll do whatever you want. I'll quit the band, go with you to New York. But if you need me to go away, I'll do that, too. I was talking to Liz and she said maybe coming back to your old life would be too painful, that maybe it'd be easier for you to erase us. And that would suck, but I'd do it. I can lose you like that if I don't lose you today. I'll let you go. If you stay."
0, deep,"I wonder how many people don't get the one they want, but end up with the one they're supposed to be with."
0, hope,"to love life, to love it evenwhen you have no stomach for itand everything you've held dearcrumbles like burnt paper in your hands,your throat filled with the silt of it.When grief sits with you, its tropical heatthickening the air, heavy as watermore fit for gills than lungs;when grief weights you like your own fleshonly more of it, an obesity of grief,you think, How can a body withstand this?Then you hold life like a facebetween your palms, a plain face,no charming smile, no violet eyes,and you say, yes, I will take youI will love you, again."
0, funny,"I’ve been fighting to be who I am all my life. What’s the point of being who I am, if I can’t have the person who was worth all the fighting for?"
0, being-loved,I want to be in a relationship where you telling me you love me is just a ceremonious validation of what you already show me.
0, love,"Even After All this timeThe Sun never says to the Earth,""You owe me.""LookWhat happensWith a love like that,It lights the whole sky."
0, life,"Throw your dreams into space like a kite, and you do not know what it will bring back, a new life, a new friend, a new love, a new country."
0, inspirational,"I sought to hear the voice of God and climbed the topmost steeple, but God declared: ""Go down again - I dwell among the people."
0, connecting,"If we have no peace, it is because we have forgotten that we belong to each other."
0, love,"sometimes you don't need a goal in life, you don't need to know the big picture. you just need to know what you're going to do next!"
0, being-positive,"More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate."
0, love,I'd learned that some things are best kept secret.
0, feminism,I know enough to know that no woman should ever marry a man who hated his mother.
0, healing,"Hearts are breakable,"" Isabelle said. ""And I think even when you heal, you're never what you were before""."
0, god,Sometimes God allows what he hates to accomplish what he loves.
0, friends,That's what people do who love you. They put their arms around you and love you when you're not so lovable.
0, inspirtational,"I was blind and heart broken and didn't want to do anything and Gus burst into my room and shouted, ""I have wonderful news!"" And I was like, ""I don't really want to hear wonderful news right now,"" and Gus said, ""This is wonderful news you want to hear,"" and I asked him, ""Fine, what is it?"" and he said, ""You are going to live a good and long life filled with great and terrible moments that you cannot even imagine yet!"
0, life,"You can search throughout the entire universe for someone who is more deserving of your love and affection than you are yourself, and that person is not to be found anywhere. You, yourself, as much as anybody in the entire universe, deserve your love and affection."
0, life,"I've been in love before, it's like a narcotic. At first it brings the euphoria of complete surrender. The next day you want more. You're not addicted yet, but you like the sensation, and you think you can still control things.You think about the person you love for two minutes then forget them for three hours. But then you get used to that person, and you begin to be completely dependent on them. Now you think about him for three hours and forget him for two minutes. If he's not there, you feel like an addict who can't get a fix. And just as addicts steal and humiliate themselves to get what they need, you're willing to do anything for love.""- By the River Piedra I Sat Down and Wept"
0, goodness,Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people.
0, inspirational-love,"You only need one man to love you. But him to love you free like a wildfire, crazy like the moon, always like tomorrow, sudden like an inhale and overcoming like the tides. Only one man and all of this."
0, life,"Despite your best efforts, people are going to be hurt when it's time for them to be hurt."
0, fire,"They say a good love is one that sits you down, gives you a drink of water, and pats you on top of the head. But I say a good love is one that casts you into the wind, sets you ablaze, makes you burn through the skies and ignite the night like a phoenix; the kind that cuts you loose like a wildfire and you can't stop running simply because you keep on burning everything that you touch! I say that's a good love; one that burns and flies, and you run with it!"
0, love,"The damage was permanent; there would always be scars. But even the angriest scars faded over time until it was difficult to see them written on the skin at all, and the only thing that remained was the memory of how painful it had been."
0, life-lesson,If there's a thing I've learned in my life it's to not be afraid of the responsibility that comes with caring for other people. What we do for love: those things endure. Even if the people you do them for don't
0, inspirational,"You're beautiful, but you're empty...One couldn't die for you. Of course, an ordinary passerby would think my rose looked just like you. But my rose, all on her own, is more important than all of you together, since she's the one I've watered. Since she's the one I put under glass, since she's the one I sheltered behind the screen. Since she's the one for whom I killed the caterpillars (except the two or three butterflies). Since she's the one I listened to when she complained, or when she boasted, or even sometimes when she said nothing at all. Since she's my rose."
0, love,Nothing ever happens like you imagine it will
0, life,"[H]iding how you really feel and trying to make everyone happy doesn't make you nice, it just makes you a liar."
0, courage,Owning our story can be hard but not nearly as difficult as spending our lives running from it. Embracing our vulnerabilities is risky but not nearly as dangerous as giving up on love and belonging and joy—the experiences that make us the most vulnerable. Only when we are brave enough to explore the darkness will we discover the infinite power of our light.
0, class,Top 15 Things Money Can’t BuyTime. Happiness. Inner Peace. Integrity. Love. Character. Manners. Health. Respect. Morals. Trust. Patience. Class. Common sense. Dignity.
0, doing,"Do what you love, love what you do, and with all your heart give yourself to it."
0, life,The best things in life make you sweaty.
0, grief-inspirational,"So it’s true, when all is said and done, grief is the price we pay for love."
0, girlfriend,"When in a relationship, a real man doesn't make his woman jealous of others, he makes others jealous of his woman."
0, love,"We could do it, you know.""""What?""""Leave the district. Run off. Live in the woods. You and I, we could make it."
0, family,Parents were the only ones obligated to love you from the rest of the world you had to earn it.
0, change,"Even if you cannot change all the people around you, you can change the people you choose to be around. Life is too short to waste your time on people who don’t respect, appreciate, and value you. Spend your life with people who make you smile, laugh, and feel loved."
0, fear,"We are all the pieces of what we remember. We hold in ourselves the hopes and fears of those who love us. As long as there is love and memory, there is no true loss."
0, friendship,I may not always be with you But when we're far apartRemember you will be with meRight inside my heart
0, life,"I know that the whole point—the only point—is tofind the things that matter, and hold on to them, and fight for them, and refuse tolet them go."
0, breakup,How can I be reasonable? To me our love was everything and you were my whole life. It is not very pleasant to realize that to you it was only an episode.
0, belonging-to-someone,She didn't belong anywhere and she never really belonged to anyone. And everyone else belonged somewhere and to someone. People thought she was too wonderful. But she only wanted to belong to someone. People always thought she was too wonderful to belong to them or that something too wonderful would hurt too much to lose. And that's why she liked him-- because he just thought she was crazy.
0, choice,"Sleep my little baby-ohSleep until you wakenWhen you wake you'll see the worldIf I'm not mistaken...Kiss a loverDance a measure,Find your nameAnd buried treasure...Face your lifeIts pain, Its pleasure,Leave no path untaken."
0, interdependence,"Then, one stupid person, no different from any other stupid person, wanders into your stupid life...you give them a piece of you. They don't ask for it. They do something dumb one day like kiss you or smile at you, and then your life isn't your own anymore."
0, commit,"I will not try to convince you to love me, to respect me, to commit to me. I deserve better than that; I AM BETTER THAN THAT...Goodbye."
0, dark-divine,I envy people that know love. That have someone who takes them as they are.
0, love,I don't care what you say to me. I care what you share with me.
0, inspirational,The great thing to remember is that though our feelings come and go God's love for us does not.
0, balance,"Keep your best wishes, close to your heart and watch what happens"
0, life,He's not your prince charming if he doesn't make sure you know that you're his princess.
0, inspirational-love,"In this world, it is too common for people to search for someone to lose themselves in. But I am already lost. I will look for someone to find myself in."
0, elven,"Friends are the family you choose (~ Nin/Ithilnin, Elven rogue)."
0, affairs,Don't leave a piece of jewelry at his house so you can go back and get it later he may be with his real girlfriend.
0, love,"I dreamed I spoke in another's language,I dreamed I lived in another's skin,I dreamed I was my own beloved,I dreamed I was a tiger's kin.I dreamed that Eden lived inside me,And when I breathed a garden came,I dreamed I knew all of Creation,I dreamed I knew the Creator's name.I dreamed--and this dream was the finest--That all I dreamed was real and true,And we would live in joy forever,You in me, and me in you."
0, love,nothing in this world was more difficult than love.
0, courage,"If I am to be fallen into love, I will. And if as a result I will appear to be stupid, disillusioned, and of poor judgment, I will. And I would be damned if I cared what other people think. For I would rather be thought of as all of these things, than not love. If in loving, I become the naked woman on the horse, I will ride that horse with my head held high. This is my spirit. I am unbreakable."
0, happiness,The power of finding beauty in the humblest things makes home happy and life lovely.
0, declarations-of-love,"I love that you get cold when it's 71 degrees out. I love that it takes you an hour and a half to order a sandwich. I love that you get a little crinkle above your nose when you're looking at me like I'm nuts. I love that after I spend the day with you, I can still smell your perfume on my clothes. And I love that you are the last person I want to talk to before I go to sleep at night. And it's not because I'm lonely, and it's not because it's New Year's Eve. I came here tonight because when you realize you want to spend the rest of your life with somebody, you want the rest of your life to start as soon as possible."
0, contentment,"ur be the things I am wiser to know:Idleness, sorrow, a friend, and a foe.Four be the things I'd been better without:Love, curiosity, freckles, and doubt.Three be the things I shall never attain:Envy, content, and sufficient champagne.Three be the things I shall have till I die:Laughter and hope and a sock in the eye."
0, destiny,Love is our true destiny. We do not find the meaning of life by ourselves alone - we find it with another.
0, goodbye,"The story of life is quicker than the wink of an eye, the story of love is hello and goodbye...until we meet again"
0, inspiration,"Each day brings new opportunities, allowing you to constantly live with love—be there for others—bring a little light into someone's day. Be grateful and live each day to the fullest."
0, care,"Don’t sacrifice yourself too much, because if you sacrifice too much there’s nothing else you can give and nobody will care for you."
0, loss,"You never knew the last time you were seeing someone. You didn't know when the last argument happened, or the last time you had sex, or the last time you looked into their eyes and thanked God they were in your life.After they were gone?That was all you thought about.Day and night."
0, forgiveness,To love means loving the unlovable. To forgive means pardoning the unpardonable. Faith means believing the unbelievable. Hope means hoping when everything seems hopeless.
0, life,"There is a time for everything, and a season for every activity under heaven:a time to be born and a time to die,a time to plant and a time to uproot,a time to kill and a time to heal,a time to tear down and a time to build,a time to weep and a time to laugh,a time to mourn and a time to dance,a time to scatter stones and a time to gather them,a time to embrace and a time to refrain,a time to search and a time to give up,a time to keep and a time to throw away,a time to tear and a time to mend,a time to be silent and a time to speak,a time to love and a time to hate,a time for war and a time for peace.(Ecclesiastes 3:1-8, NIV)"
0, body,"A fit, healthy body—that is the best fashion statement"
0, life,Then I discovered that being related is no guarantee of love!
0, inspirational,"Life is funny. Things change, people change, but you will always be you, so stay true to yourself and never sacrifice who you are for anyone."
0, love,"It scares me how hard it is to remember life before you. I can't even make the comparisons anymore, because my memories of that time have all the depth of a photograph. It seems foolish to play games of better and worse. It's simply a matter of is and is no longer."
0, happiness,Most of us must learn to love people and use things rather than loving things and using people.
0, pain,Last night I wept. I wept because the process by which I have become woman was painful. I wept because I was no longer a child with a child's blind faith. I wept because my eyes were opened to reality....I wept because I could not believe anymore and I love to believe. I can still love passionately without believing. That means I love humanly. I wept because I have lost my pain and I am not yet accustomed to its absence.
0, accomplish,You may choose to look the other way but you can never say again that you did not know.
0, love,"That which God said to the rose, and caused it to laugh in full-blown beauty, He said to my heart, and made it a hundred times more beautiful."
0, ego,"Nobody sees anybody truly but all through the flaws of their own egos. That is the way we all see ...each other in life. Vanity, fear, desire, competition-- all such distortions within our own egos-- condition our vision of those in relation to us. Add to those distortions to our own egos the corresponding distortions in the egos of others, and you see how cloudy the glass must become through which we look at each other. That's how it is in all living relationships except when there is that rare case of two people who love intensely enough to burn through all those layers of opacity and see each other's naked hearts."
0, inspirational,To the world you may be one person but to one person you may be the world.
0, happiness,This life is yours. Take the power to choose what you want to do and do it well. Take the power to love what you want in life and love it honestly. Take the power to walk in the forest and be a part of nature. Take the power to control your own life. No one else can do it for you. Take the power to make your life happy.
0, inspirational,"Amor Fati – “Love Your Fate”, which is in fact your life."
0, classic-books,Dare to love yourselfas if you were a rainbowwith gold at both ends.
0, love,"How many times have you tried to talk to someone about something that matters to you, tried to get them to see it the way you do? And how many of those times have ended with you feeling bitter, resenting them for making you feel like your pain doesn't have any substance after all?Like when you've split up with someone, and you try to communicate the way you feel, because you need to say the words, need to feel that somebody understands just how pissed off and frightened you feel. The problem is, they never do. ""Plenty more fish in the sea,"" they'll say, or ""You're better off without them,"" or ""Do you want some of these potato chips?"" They never really understand, because they haven't been there, every day, every hour. They don't know the way things have been, the way that it's made you, the way it has structured your world. They'll never realise that someone who makes you feel bad may be the person you need most in the world. They don't understand the history, the background, don't know the pillars of memory that hold you up. Ultimately, they don't know you well enough, and they never can. Everyone's alone in their world, because everybody's life is different. You can send people letters, and show them photos, but they can never come to visit where you live.Unless you love them. And then they can burn it down."
0, love,"He knew one of the women well, and had shared his universe with her. They had seen the same mountains, and the same trees, although each of them had seem them differently. She knew his weaknesses, his moments of hatred, of despair. Yet she was there at his side. They shared the same universe."
0, jo-march,"Love Jo all your days, if you choose, but don't let it spoil you, for it's wicked to throw away so many good gifts because you can't have the one you want."
0, books,"V-Day…if you need this one day in a year to show everyone else you truly care for “your loved one” I think it’s quite stupid. I hate this commercialism. It’s all artificial, and has nothing to do with real love."
0, life,"Six hundred and forty fish later, the only thing I know is everything you love will die. The first time you meet someone special, you can count on them one day being dead and in the ground."
0, compassion,"It’s important that what thoughts you are feeding into your mind because your thoughts create your belief and experiences. You have positive thoughts and you have negative ones too. Nurture your mind with positive thoughts: kindness, empathy, compassion, peace, love, joy, humility, generosity, etc. The more you feed your mind with positive thoughts, the more you can attract great things into your life."
0, compassion,"It does not matter how long you are spending on the earth, how much money you have gathered or how much attention you have received. It is the amount of positive vibration you have radiated in life that matters,"
0, broken,"To be rejected by someone doesn't mean you should also reject yourself or that you should think of yourself as a lesser person. It doesn't mean that nobody will ever love you anymore. Remember that only ONE person has rejected you at the moment, and it only hurt so much because to you, that person's opinion symbolized the opinion of the whole world, of God."
0, dating,"A busy, vibrant, goal-oriented woman is so much more attractive than a woman who waits around for a man to validate her existence."
0, inspirational,"Down on the lake rosy reflections of celestial vapor appeared, and I said, ""God, I love you"" and looked to the sky and really meant it. ""I have fallen in love with you, God. Take care of us all, one way or the other."" To the children and the innocent it's all the same."
0, love,"You made me confess the fears that I have. But I will tell you also what I do not fear. I do not fear to be alone or to be spurned for another or to leave whatever I have to leave. And I am not afraid to make a mistake, even a great mistake, a lifelong mistake and perhaps as long as eternity too."
0, love,Keep love in your heart. A life without it is like a sunless garden when the flowers are dead. The consciousness of loving and being loved brings a warmth and a richness to life that nothing else can bring.
0, life-lessons,"If you love deeply, you're going to get hurt badly. But it's still worth it."
0, books,"There comes a time in your life when you have to choose to turn the page, write another book or simply close it."
0, frustration,"Transformation is my favorite game and in my experience, anger and frustration are the result of you not being authentic somewhere in your life or with someone in your life. Being fake about anything creates a block inside of you. Life can’t work for you if you don’t show up as you."
0, inspirational,I have learned that you can go anywhere you want to go and do anything you want to do and buy all the things that you want to buy and meet all the people that you want to meet and learn all the things that you desire to learn and if you do all these things but are not madly in love: you have still not begun to live.
0, inspirational,"The minute I stopped trying to find the right girl, and started trying to become the right guy...the girl came."
0, love,"It is the possibility that keeps me going, and though you may call me a dreamer or a fool or any other thing, I believe that anything is possible."
0, inspiration,Unrequited love is the infinite curse of a lonely heart.
0, belonging,"Before, I wanted to say: ""I found love!"" But now, I want to say: ""I found a person. And he belongs to me and I belong to him."
0, creativity,There is no time for cut-and-dried monotony. There is time for work. And time for love. That leaves no other time.
0, love,"Let us always meet each other with smile, for the smile is the beginning of love."
0, inspirational,Love is too precious to be ashamed of.
0, grief,"Every widow wakes one morning, perhaps after years of pure and unwavering grieving, to realize she slept a good night's sleep, and will be able to eat breakfast, and doesn't hear her husband's ghost all the time, but only some of the time. Her grief is replaced with a useful sadness. Every parent who loses a child finds a way to laugh again. The timbre begins to fade. The edge dulls. The hurt lessens. Every love is carved from loss. Mine was. Yours is. Your great-great-great-grandchildren's will be. But we learn to live in that love."
0, dating,"Hope for love, pray for love, wish for love, dream for love…but don’t put your life on hold waiting for love."
0, hurt,"Do you believe a man can truly love a woman and constantly betray her?Never mind physically but betray her in his mind,in the very ""poetry of his soul"".Well,it's not easy but men do it all the time."
0, fear,"We, unaccustomed to courageexiles from delightlive coiled in shells of lonelinessuntil love leaves its high holy templeand comes into our sightto liberate us into life.Love arrivesand in its train come ecstasiesold memories of pleasureancient histories of pain.Yet if we are bold,love strikes away the chains of fearfrom our souls.We are weaned from our timidityIn the flush of love's lightwe dare be braveAnd suddenly we seethat love costs all we areand will ever be.Yet it is only lovewhich sets us free."
0, hate,Hate looks like everybody else until it smiles
0, butterfly,"and when all the wars are over, a butterfly will still be beautiful."
0, life,Tears are words the heart can't express
0, longing,Wanting him to come back before anyone notices part of the world has not moved since he left.
0, action,"Plant seeds of happiness, hope, success, and love; it will all come back to you in abundance. This is the law of nature."
0, love,"Ah, love, let us be true To one another! for the world, which seems To lie before us like a land of dreams, So various, so beautiful, so new, Hath really neither joy, nor love, nor light, Nor certitude, nor peace, nor help for pain; And we are here as on a darkling plain Swept with confused alarms of struggle and flight, Where ignorant armies clash by night."
0, books,My head’ll explode if I continue with this escapism.
0, lady-midnight,"There was beauty in the idea of freedom, but it was an illusion. Every human heart was chained by love."
0, life,Life is a gift. Don't forget to live it.
0, connection,"The world is so empty if one thinks only of mountains, rivers & cities; but to know someone who thinks & feels with us, & who, though distant, is close to us in spirit, this makes the earth for us an inhabited garden."
0, life,Voici mon secret. Il est très simple: on ne voit bien qu'avec le cœur. L'essentiel est invisible pour les yeux.
0, falling-in-love,"Falling in love is very real, but I used to shake my head when people talked about soul mates, poor deluded individuals grasping at some supernatural ideal not intended for mortals but sounded pretty in a poetry book. Then, we met, and everything changed, the cynic has become the converted, the sceptic, an ardent zealot."
0, letting-go,"Most things are forgotten over time. Even the war itself, the life-and-death struggle people went through is now like something from the distant past. We’re so caught up in our everyday lives that events of the past are no longer in orbit around our minds. There are just too many things we have to think about everyday, too many new things we have to learn. But still, no matter how much time passes, no matter what takes place in the interim, there are some things we can never assign to oblivion, memories we can never rub away. They remain with us forever, like a touchstone."
0, imagination,It’s strange how dreams get under your skin and give your heart a test for what’s real and what’s imaginary.
0, inspirational,Would you rather live one perfect day over and over or live your life with no perfect days but just decent ones?
0, life-lessons,"The words ‘I Love You’ kill, and resurrect millions, in less than a second."
0, love,"Love.Not the kind you see in the movies or hear about on the radio.The real kind.The kind that gets beaten down and bloody, yet perseveres.The kind that hopes even when hope seems foolish.The kind that can forgives. The kind that believes in healing. The kind that can sit in silence and feel renewed.The real kind of love.It's rare and we have it.."
0, christ,"Want to keep Christ in Christmas? Feed the hungry, clothe the naked, forgive the guilty, welcome the unwanted, care for the ill, love your enemies, and do unto others as you would have done unto you."
0, inspirational-attitude,People wait around too long for love. I'm happy with all of my lusts!
0, dancing,"Kiss a lover, Dance a measure, Find your name And buried treasure. Face your life, It's pain, It's pleasure, Leave no path untaken."
0, inspirational,"But beauty is about finding the right fit, the most natural fit, To be perfect, you have to feel perfect about yourself --- avoid trying to be something you're not. For a goddess, that's especially hard. We can change so easily.-Aphrodite"
0, love,"I love you, in my mind where my thoughts reside, in my heart where my emotions live, and in my soul where my dreams are born. I love you."
0, inspirational-love,Don't marry a rich man. Marry a good man. He will spend his life trying to keep you happy. No rich man can buy that!
0, love,The right thing at the wrong tme is the wrong thing.
0, forgive-yourself,"I have learned, that the person I have to ask for forgiveness from the most is: myself. You must love yourself. You have to forgive yourself, everyday, whenever you remember a shortcoming, a flaw, you have to tell yourself ""That's just fine"". You have to forgive yourself so much, until you don't even see those things anymore. Because that's what love is like."
0, death,"People die, I think, but your relationship with them doesn't. It continues and is ever-changing."
0, forbidden,"But what was there to say?Only that there were tears. Only that Quietness and Emptiness fitted together like stacked spoons. Only that there was a snuffling in the hollows at the base of a lovely throat. Only that a hard honey-colored shoulder had a semicircle of teethmarks on it. Only that they held each other close, long after it was over. Only that what they shared that night was not happiness, but hideous grief.Only that once again they broke the Love Laws. That lay down who should be loved. And how. And how much."
0, love,"Every day People straighten up the hair, why not the heart?"
0, deceit,"To find out if she really loved me, I hooked her up to a lie detector. And just as I suspected, my machine was broken. "
0, heartbreak,"...I told him a story of two people. Two people who shouldn't have met, and who didn't like each other much when they did, but who found they were the only two people in the world who could possibly have understood each other."
0, broken,"Yes, I understand why things had to happen this way. I understand his reason for causing me pain. But mere understanding does not chase away the hurt. It does not call upon the sun when dark clouds have loomed over me. Let the rain come then if it must come! And let it wash away the dust that hurt my eyes!"
0, love,"Wisdom is knowing I am nothing,Love is knowing I am everything,and between the two my life moves."
0, distance,I believe in the immeasurable power of love that true love can endure any circumstance and reach across any distance.
0, love,"You have to, take a deep breath. and allow the music to flow through you. Revel in it, allow yourself to awe. When you play allow the music to break your heart with its beauty."
0, goodbye,"We stood there, looking at each other, saying nothing. But it was the kind of nothing that meant everything. In his eyes, there was no trace of what had happened between us earlier and I could feel something inside me break.So that was that. We were finally, finally over.I looked at him, and I felt so sad, because this thought occurred to me: 'I will never look at you the same way again. I'll never be that girl again. The girl who comes running back every time you push her away, the girl who loves you anyway.'I couldn’t even be mad at him, because this was who he was. This was who he’dalways been. He’d never lied about that. He gave and then he took away. I felt it in the pit of my stomach, the familiar ache, that lost, regretful feeling only he could give me. I never wanted to feel it again. Never, ever.Maybe this was why I came, so I could really know. So I could say good-bye.I looked at him, and I thought, 'If I was very brave or very honest, I would tell him.'I would say it, so he would know it and I would know it, and I could never take it back. But I wasn’t that brave or honest, so all I did was look at him. And I think he knew anyway.'I release you. I evict you from my heart. Because if I don't do it now, I never will.'I was the one to look away first."
